title,total ratings,installs,average rating,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,PRICE
Cut the Rope 2,2301209,100000000,4,GAME PUZZLE,1810251,255614,102894,33835,98612,0
Happy Glass,968677,100000000,3,GAME PUZZLE,586764,100779,77199,50085,153849,0
Color Fill 3D,384115,100000000,4,GAME PUZZLE,251975,39025,32327,17572,43213,0
Hill Climb Racing,10188038,500000000,4,GAME RACING,7148370,982941,607603,338715,1110407,0
Traffic Rider,7580227,100000000,4,GAME RACING,5426819,833452,446764,212143,661046,0
Dr. Driving,6062304,100000000,4,GAME RACING,4307671,494396,337684,213487,709064,0
Need for Speed™ No Limits,4507290,100000000,4,GAME RACING,2976966,514643,268717,148109,598854,0
Asphalt Nitro,1618815,50000000,4,GAME RACING,1155090,182406,92136,41613,147567,0
City Racing 3D,1555939,50000000,4,GAME RACING,1139740,156099,102803,35354,121941,0
BMX Boy,895239,100000000,4,GAME RACING,654777,72957,50728,25429,91346,0
City Driving 3D,272721,10000000,3,GAME RACING,138933,22589,21760,15256,74182,0
Torque Burnout,271610,10000000,4,GAME RACING,189031,25182,16212,9799,31385,0
8 Ball Pool,21632735,500000000,4,GAME SPORTS,16281475,2268294,1017204,425693,1640067,0
Dream League Soccer,13385786,100000000,4,GAME SPORTS,10086735,1454500,646066,266864,931618,0
Score! Hero,6856324,100000000,4,GAME SPORTS,4551071,837222,464347,222878,780804,0
Carrom Pool: Disc Game,3181731,100000000,4,GAME SPORTS,2157840,364339,220366,106843,332341,0
World Cricket Championship 2 - WCC2,2968290,50000000,4,GAME SPORTS,2084392,342113,160793,76200,304791,0
Bowling King,2935299,10000000,4,GAME SPORTS,2170300,459849,176480,39384,89283,0
Basketball Stars,1240874,50000000,4,GAME SPORTS,884186,178064,72646,24750,81225,0
Archery Master 3D,955057,100000000,4,GAME SPORTS,627644,108404,73468,34815,110723,0
Flip Diving,882096,50000000,4,GAME SPORTS,665550,89779,45159,21600,60005,0
World Cricket Championship Lt,830720,50000000,4,GAME SPORTS,553923,84564,54753,30030,107447,0
Golf Battle,643614,50000000,4,GAME SPORTS,406123,98989,47508,21946,69046,0
Badminton 3D,258454,10000000,4,GAME SPORTS,165941,39223,24908,6873,21507,0
Clash of Clans,55766763,500000000,4,GAME STRATEGY,43346128,5404966,2276203,971321,3768141,0
Clash Royale,30852360,100000000,4,GAME STRATEGY,21009004,3645468,1655906,777067,3764913,0
Lords Mobile: Tower Defense,6548519,100000000,4,GAME STRATEGY,4667558,783541,364754,141812,590852,0
Boom Beach,6055738,50000000,4,GAME STRATEGY,4401189,803632,324777,122057,404080,0
Grow Empire: Rome,3687571,10000000,4,GAME STRATEGY,2764963,535971,217151,53862,115622,0
World of Tanks Blitz PVP MMO 3D tank game for free,3671736,100000000,4,GAME STRATEGY,2525303,392631,182624,110955,460219,0
Monster Legends: Breed and Collect,3342006,50000000,4,GAME STRATEGY,2555996,356028,147355,62745,219879,0
Bid Wars - Storage Auctions and Pawn Shop Tycoon,3120219,10000000,4,GAME STRATEGY,2040765,579613,287144,79355,133340,0
Iron Desert - Fire Storm,272201,5000000,4,GAME STRATEGY,191275,34133,16626,7165,23000,50
